Tipo de edificación;Régimen de tenencia;periodo;Total
Vivienda unifamiliar adosada o pareada;Alquilada;2017;323,1
Vivienda unifamiliar adosada o pareada;Alquilada;2016;294,9
Vivienda unifamiliar adosada o pareada;Alquilada;2015;342,5
Vivienda unifamiliar adosada o pareada;Alquilada;2014;292,8
Vivienda unifamiliar adosada o pareada;Alquilada;2013;238,5
Edificio con dos viviendas;Total;2020;579,9
Edificio con dos viviendas;Total;2019;564,6
Edificio con dos viviendas;Total;2018;596,5
Edificio con dos viviendas;Total;2017;576,8
Edificio con dos viviendas;Total;2016;525,1
Edificio con dos viviendas;Total;2015;621,2
Edificio con dos viviendas;Total;2014;574,6
Edificio con dos viviendas;Total;2013;642,5
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2020;347,4
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2019;318,3
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2018;321,5
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2017;313,5
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2016;282,8
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2015;360,2
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2014;310,2
Edificio con dos viviendas;Propia por compra, totalmente pagada, heredada o donada;2013;364,7
Edificio con dos viviendas;Propia con pagos pendientes;2020;72,6
Edificio con dos viviendas;Propia con pagos pendientes;2019;82,7
Edificio con dos viviendas;Propia con pagos pendientes;2018;90,9
Edificio con dos viviendas;Propia con pagos pendientes;2017;93,9
Edificio con dos viviendas;Propia con pagos pendientes;2016;95,6
Edificio con dos viviendas;Propia con pagos pendientes;2015;101,7
Edificio con dos viviendas;Propia con pagos pendientes;2014;97,7
Edificio con dos viviendas;Propia con pagos pendientes;2013;97,9
Edificio con dos viviendas;Alquilada;2020;93,6
Edificio con dos viviendas;Alquilada;2019;97,5
Edificio con dos viviendas;Alquilada;2018;108,2
Edificio con dos viviendas;Alquilada;2017;98,4
Edificio con dos viviendas;Alquilada;2016;83,3
Edificio con dos viviendas;Alquilada;2015;100,3
Edificio con dos viviendas;Alquilada;2014;99,9
Edificio con dos viviendas;Alquilada;2013;112,9
Edificio de 3 a 9 viviendas;Total;2020;3173,6
Edificio de 3 a 9 viviendas;Total;2019;3340,6
Edificio de 3 a 9 viviendas;Total;2018;3242,6
Edificio de 3 a 9 viviendas;Total;2017;3198,8
Edificio de 3 a 9 viviendas;Total;2016;3278,4
Edificio de 3 a 9 viviendas;Total;2015;3228,4
Edificio de 3 a 9 viviendas;Total;2014;3226,1
Edificio de 3 a 9 viviendas;Total;2013;3316,4
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2020;1277,6
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2019;1337
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2018;1355,3
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2017;1235,5
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2016;1270
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2015;1285,4
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2014;1281,1
Edificio de 3 a 9 viviendas;Propia por compra, totalmente pagada, heredada o donada;2013;1340,5
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2020;837,1
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2019;861,4
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2018;873,1
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2017;902,7
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2016;962,8
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2015;909,6
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2014;967
Edificio de 3 a 9 viviendas;Propia con pagos pendientes;2013;1004,6
Edificio de 3 a 9 viviendas;Alquilada;2020;850
Edificio de 3 a 9 viviendas;Alquilada;2019;945,2
Edificio de 3 a 9 viviendas;Alquilada;2018;821,4
Edificio de 3 a 9 viviendas;Alquilada;2017;879,1
Edificio de 3 a 9 viviendas;Alquilada;2016;866,3
Edificio de 3 a 9 viviendas;Alquilada;2015;842,9
Edificio de 3 a 9 viviendas;Alquilada;2014;785,2
Edificio de 3 a 9 viviendas;Alquilada;2013;788,4
